"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"神奈川県","藤沢市","宮原","","312","9","-66948.3","-39276.4","35.395775","139.400953","0","1","0","0"
"神奈川県","藤沢市","宮原","","313","9","-66948.3","-39276.4","35.395775","139.400953","0","1","0","0"
"神奈川県","藤沢市","宮原","","314","9","-66948.3","-39276.4","35.395775","139.400953","0","1","0","0"
"神奈川県","藤沢市","宮原","","316","9","-66948.3","-39276.4","35.395775","139.400953","0","1","0","0"
"神奈川県","藤沢市","宮原","","321","9","-66948.3","-39276.4","35.395775","139.400953","0","1","0","0"
"神奈川県","藤沢市","宮原","","322","9","-66948.3","-39276.4","35.395775","139.400953","0","1","0","0"
"神奈川県","藤沢市","宮原","","323","9","-66948.3","-39276.4","35.395775","139.400953","0","1","0","0"
"神奈川県","藤沢市","宮原","","324","9","-66948.3","-39276.4","35.395775","139.400953","0","1","0","0"
"神奈川県","藤沢市","宮原","","167","9","-66884.8","-39426.8","35.396341","139.399294","0","1","0","0"
"神奈川県","藤沢市","宮原","","168","9","-66884.8","-39426.8","35.396341","139.399294","0","1","0","0"
"神奈川県","藤沢市","宮原","","177","9","-66884.8","-39426.8","35.396341","139.399294","0","1","0","0"
"神奈川県","藤沢市","宮原","","190","9","-66884.8","-39426.8","35.396341","139.399294","0","1","0","0"
"神奈川県","藤沢市","宮原","","193","9","-66884.8","-39426.8","35.396341","139.399294","0","1","0","0"
"神奈川県","藤沢市","宮原","","202","9","-66884.8","-39426.8","35.396341","139.399294","0","1","0","0"
"神奈川県","藤沢市","宮原","","1797","9","-66721.8","-39331.3","35.397814","139.400338","0","1","0","0"
"神奈川県","藤沢市","宮原","","1798","9","-66721.8","-39331.3","35.397814","139.400338","0","1","0","0"
"神奈川県","藤沢市","宮原","","1856","9","-66721.8","-39331.3","35.397814","139.400338","0","1","0","0"
"神奈川県","藤沢市","宮原","","1864","9","-66721.8","-39331.3","35.397814","139.400338","0","1","0","0"
"神奈川県","藤沢市","宮原","","1866","9","-66721.8","-39331.3","35.397814","139.400338","0","1","0","0"
"神奈川県","藤沢市","宮原","","303","9","-67061.8","-39346.4","35.394749","139.400188","0","1","0","0"
"神奈川県","藤沢市","宮原","","304","9","-67061.8","-39346.4","35.394749","139.400188","0","1","0","0"
"神奈川県","藤沢市","宮原","","305","9","-67061.8","-39346.4","35.394749","139.400188","0","1","0","0"
"神奈川県","藤沢市","宮原","","306","9","-67061.8","-39346.4","35.394749","139.400188","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1236","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1237","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1238","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1239","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1240","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1242","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1243","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1244","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1245","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1247","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1248","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1250","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1254","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1255","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1257","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1258","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1259","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1260","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1261","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1262","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1263","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1280","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1287","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1288","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1289","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1290","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1291","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1293","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1294","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1295","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1298","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1299","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1302","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1303","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1304","9","-68165.4","-39274.1","35.384804","139.401037","0","1","0","0"
"神奈川県","藤沢市","宮原","","271","9","-67229.1","-39299.5","35.393243","139.400712","0","1","0","0"
"神奈川県","藤沢市","宮原","","272","9","-67229.1","-39299.5","35.393243","139.400712","0","1","0","0"
"神奈川県","藤沢市","宮原","","274","9","-67229.1","-39299.5","35.393243","139.400712","0","1","0","0"
"神奈川県","藤沢市","宮原","","277","9","-67229.1","-39299.5","35.393243","139.400712","0","1","0","0"
"神奈川県","藤沢市","宮原","","279","9","-67229.1","-39299.5","35.393243","139.400712","0","1","0","0"
